ID,Title
SATB1,SATB1_ReMap
SETDB1,SETDB1_ReMap
SIX2,SIX2_ReMap
SIX5,SIX5_ReMap
SMAD1,SMAD1_ReMap
SMAD3,SMAD3_ReMap
SMAD4,SMAD4_ReMap
SMAD5,SMAD5_ReMap
SNAI2,SNAI2_ReMap
SNAPC4,SNAPC4_ReMap
SOX10,SOX10_ReMap
SOX11,SOX11_ReMap
SOX13,SOX13_ReMap
SOX2,SOX2_ReMap
SOX6,SOX6_ReMap
SOX9,SOX9_ReMap
SP1,SP1_ReMap
SP2,SP2_ReMap
SP4,SP4_ReMap
SPI1,SPI1_ReMap
SPIB,SPIB_ReMap
SREBF1,SREBF1_ReMap
SREBF2,SREBF2_ReMap
SRF,SRF_ReMap
STAT1,STAT1_ReMap
STAT2,STAT2_ReMap
STAT3,STAT3_ReMap
STAT5A,STAT5A_ReMap
STAT5B,STAT5B_ReMap
TBXT,TBXT_ReMap
TAL1,TAL1_ReMap
TBP,TBP_ReMap
TBX21,TBX21_ReMap
TCF12,TCF12_ReMap
TCF3,TCF3_ReMap
TCF4,TCF4_ReMap
TCF7,TCF7_ReMap
TCF7L2,TCF7L2_ReMap
TEAD1,TEAD1_ReMap
TEAD2,TEAD2_ReMap
TEAD4,TEAD4_ReMap
TERF1,TERF1_ReMap
TERF2,TERF2_ReMap
TET3,TET3_ReMap
TFAP2A,TFAP2A_ReMap
TFAP2C,TFAP2C_ReMap
TFAP4,TFAP4_ReMap
TFDP1,TFDP1_ReMap
TGIF2,TGIF2_ReMap
THAP1,THAP1_ReMap
THAP11,THAP11_ReMap
TP53,TP53_ReMap
TP63,TP63_ReMap
TWIST1,TWIST1_ReMap
USF1,USF1_ReMap
USF2,USF2_ReMap
VDR,VDR_ReMap
XBP1,XBP1_ReMap
YY1,YY1_ReMap
ZBED1,ZBED1_ReMap
ZBTB11,ZBTB11_ReMap
ZBTB16,ZBTB16_ReMap
ZBTB33,ZBTB33_ReMap
ZBTB7A,ZBTB7A_ReMap
ZC3H8,ZC3H8_ReMap
ZEB1,ZEB1_ReMap
ZEB2,ZEB2_ReMap
ZFX,ZFX_ReMap
ZHX1,ZHX1_ReMap
ZHX2,ZHX2_ReMap
ZKSCAN1,ZKSCAN1_ReMap
ZNF143,ZNF143_ReMap
ZNF165,ZNF165_ReMap
ZNF175,ZNF175_ReMap
ZNF197,ZNF197_ReMap
ZNF207,ZNF207_ReMap
ZNF217,ZNF217_ReMap
ZNF24,ZNF24_ReMap
ZNF263,ZNF263_ReMap
ZNF274,ZNF274_ReMap
ZNF318,ZNF318_ReMap
ZNF335,ZNF335_ReMap
ZNF384,ZNF384_ReMap
