sample	condition
RNASeq_NDC_iPSCNeuron_rep1	NDC
RNASeq_NDC_iPSCNeuron_rep2	NDC
RNASeq_NDC_iPSCNeuron_rep3	NDC
RNASeq_NDC_iPSCNeuron_rep4	NDC
RNASeq_PSEN1_A246E_iPSCNeuron_rep1	A246E
RNASeq_PSEN1_A246E_iPSCNeuron_rep2	A246E
RNASeq_PSEN1_A246E_iPSCNeuron_rep3	A246E
RNASeq_PSEN1_A246E_iPSCNeuron_rep4	A246E
RNASeq_PSEN1_M146L_iPSCNeuron_rep1	M146L
RNASeq_PSEN1_M146L_iPSCNeuron_rep2	M146L
RNASeq_PSEN1_M146L_iPSCNeuron_rep3	M146L
RNASeq_PSEN1_M146L_iPSCNeuron_rep4	M146L
